False_Positive_Rate,True_Positive_Rate,Threshold
0.0,0.0,inf
0.0,0.006024096385542169,0.9916666666666666
0.0,0.5602409638554217,0.7667559523809525
0.0005452562704471102,0.5602409638554217,0.7663333333333331
0.0005452562704471102,0.6566265060240963,0.7314345238095237
0.0010905125408942203,0.6566265060240963,0.7311845238095238
0.0010905125408942203,0.6927710843373494,0.697093253968254
0.0016357688113413304,0.6927710843373494,0.6902321428571431
0.0016357688113413304,0.7168674698795181,0.6776458333333334
0.0021810250817884407,0.7168674698795181,0.6754702380952382
0.0021810250817884407,0.7349397590361446,0.6646666666666667
0.0027262813522355507,0.7349397590361446,0.6643928571428571
0.0027262813522355507,0.7469879518072289,0.6397559523809524
0.003271537622682661,0.7469879518072289,0.6352083333333332
0.003271537622682661,0.7530120481927711,0.6190267857142858
0.003816793893129771,0.7530120481927711,0.6181101190476191
0.003816793893129771,0.7590361445783133,0.5965892857142858
0.004362050163576881,0.7590361445783133,0.5949375000000001
0.004362050163576881,0.7650602409638554,0.5925416666666667
0.004907306434023991,0.7650602409638554,0.5905476190476191
0.004907306434023991,0.7831325301204819,0.5709583333333331
0.0054525627044711015,0.7831325301204819,0.5637500000000001
0.0054525627044711015,0.7891566265060241,0.5637261904761904
0.0059978189749182115,0.7891566265060241,0.5626011904761904
0.0059978189749182115,0.7951807228915663,0.5583749999999998
0.007088331515812432,0.7951807228915663,0.5545238095238095
0.007088331515812432,0.8132530120481928,0.5342083333333333
0.008178844056706653,0.8132530120481928,0.5207916666666668
0.008178844056706653,0.8493975903614458,0.48934523809523794
0.009814612868047983,0.8493975903614458,0.4711666666666666
0.009814612868047983,0.8554216867469879,0.46127678571428565
0.010905125408942203,0.8554216867469879,0.45725
0.010905125408942203,0.8734939759036144,0.4396488095238095
0.011995637949836423,0.8734939759036144,0.42295833333333327
0.011995637949836423,0.8795180722891566,0.4196984126984127
0.013086150490730643,0.8795180722891566,0.40907142857142864
0.013086150490730643,0.891566265060241,0.3979166666666667
0.020719738276990186,0.891566265060241,0.35863690476190485
0.020719738276990186,0.9036144578313253,0.35535714285714276
0.021264994547437296,0.9036144578313253,0.3511309523809523
0.021264994547437296,0.9096385542168675,0.35089285714285706
0.022355507088331516,0.9096385542168675,0.34622619047619047
0.022355507088331516,0.9156626506024096,0.3447083333333334
0.022900763358778626,0.9156626506024096,0.33894047619047635
0.022900763358778626,0.9216867469879518,0.33766666666666656
0.023991275899672846,0.9216867469879518,0.3316845238095238
0.023991275899672846,0.927710843373494,0.32925
0.03380588876772083,0.927710843373494,0.2869702380952381
0.03380588876772083,0.9337349397590361,0.28670833333333334
0.03489640130861505,0.9337349397590361,0.27741666666666664
0.03489640130861505,0.9397590361445783,0.2748452380952381
0.03707742639040349,0.9397590361445783,0.2724821428571429
0.03707742639040349,0.9457831325301205,0.2715416666666667
